subject,elec,area,area2,x1,x2,x3,type,,,,,
S6,G54,STG,cSTG,-72,-29,4,G,,,,,
S6,G19,IFG,,-63.2,14.8,28.8,G,,,,,
S6,G10,IFG,,-58.4,26.8,33.2,G,,,,,
S7,G25,AG,,-48,-76.666667,36.666667,G,,,,,
S7,G33,AG,,-47,-72,45,G,,,,,
S7,AT1,other,,-5,-36.666667,2.666667,S,,,,,
S7,DPMT7,right,0,-53.090909,-20.181818,-18,D,,,,,
S7,G15,pmtg,,-73.6,-27.2,-5.2,G,,,,,
S7,G31,parietal,,-72,-15.333333,18.666667,G,,,,,
S7,G32,postcg,,-72.666667,-4.666667,14.666667,G,,,,,
S7,G20,AG,,-67.142857,-50.857143,17.142857,G,,,,,
S7,G21,STG,cSTG,-70.5,-40.5,13,G,,,,,
S7,G23,STG,cSTG,-71.333333,-21.333333,7,G,,,,,
S7,G24,STG,mSTG,-72,-10.666667,2.666667,G,,,,,
S7,G34,AG,,-54,-64,45,G,,,,,
S7,DAI3,right,,-46,3.333333,-6.666667,D,,,,,
S7,DAI4,right,,-50.666667,6,-8.666667,D,,,,,
S7,DPI3,right,,-46,-13.333333,-1.333333,D,,,,,
S7,DPMT8,right,,-58,-17.2,-21.6,D,,,,,
S8,AF6,MFG,,-53,46,17,S,,,,,
S8,AIT3,TP,,-42,-5,-47,S,,,,,
S8,DPI2,right,,-45,-14,8,D,,,,,
S8,DPI3,right,,-50,-15,8,D,,,,,
S8,G10,MFG,,-55,40,19,G,,,,,
S8,G12,IFG,,-57,25.333333,33.333333,G,,,,,
S8,G15,premotor,,-57,0,51,G,,,,,
S8,G16,precentral,,-54.666667,-8,55.333333,G,,,,,
S8,G17,IFG,,-58,41,3,G,,,,,
S8,G18,IFG,,-62.666667,34,11.333333,G,,,,,
S8,G19,IFG,,-63.333333,27.333333,18,G,,,,,
S8,G20,IFG,,-64,18.666667,25.333333,G,,,,,
S8,G26,IFG,,-64,26,1,G,,,,,
S8,G27,IFG,,-66,20.666667,9.333333,G,,,,,
S8,G5,MFG,,-49.333333,21,47,G,,,,,
S8,G56,STG,cSTG,-70,-37.333333,17.333333,G,,,,,
S8,G77,IFG,,-56,43,8,G,,,,,
S8,G79,IFG,,-59.5,38,11.5,G,,,,,
S8,G83,IFG,,-62,21,29,G,,,,,
S8,G84,IFG,,-60.8,17.2,32.4,G,,,,,
S8,G86,IFG,,-61.142857,38.857143,6.857143,G,,,,,
S8,G87,IFG,,-62,30,14,G,,,,,
S8,G88,IFG,,-64,22,21,G,,,,,
S8,G92,IFG,,-61,39,-2,G,,,,,
S8,G93,IFG,,-62,34,3,G,,,,,
S8,G94,IFG,,-64,29.333333,5.333333,G,,,,,
S8,G95,IFG,,-65,28,8,G,,,,,
S8,G96,IFG,,-66,24,14,G,,,,,
S8,O4,AG,,-45.333333,-80,33.333333,S,,,,,
S8,O6,AG,,-58,-64,25,S,,,,,
S8,SF2,other,,-22,34,61,S,,,,,
